0,100,200,300,400,500,600,700,800,900,1000
Bubble Sort,29680,148958,417786,896012,1643468,2719950,4185456,6099656,8522382,11513366
Insertion Sort,20275,100750,281373,601996,1102447,1822526,2802233,4081228,5699379,7696490
Quick Sort,17866,88005,243440,515642,934644,1527158,2317203,3326348,4573151,6075169
Heap Sort,5066,16976,36494,64122,100035,144532,198024,260469,332264,413142
Two Sort,6942,22791,48259,84043,130333,187745,256614,337089,428965,532594
